avgmu,L2Calo_ring_0,L2Calo_ring_1,L2Calo_ring_2,L2Calo_ring_3,L2Calo_ring_4,L2Calo_ring_5,L2Calo_ring_6,L2Calo_ring_7,L2Calo_ring_8,L2Calo_ring_9,L2Calo_ring_10,L2Calo_ring_11,L2Calo_ring_12,L2Calo_ring_13,L2Calo_ring_14,L2Calo_ring_15,L2Calo_ring_16,L2Calo_ring_17,L2Calo_ring_18,L2Calo_ring_19,L2Calo_ring_20,L2Calo_ring_21,L2Calo_ring_22,L2Calo_ring_23,L2Calo_ring_24,L2Calo_ring_25,L2Calo_ring_26,L2Calo_ring_27,L2Calo_ring_28,L2Calo_ring_29,L2Calo_ring_30,L2Calo_ring_31,L2Calo_ring_32,L2Calo_ring_33,L2Calo_ring_34,L2Calo_ring_35,L2Calo_ring_36,L2Calo_ring_37,L2Calo_ring_38,L2Calo_ring_39,L2Calo_ring_40,L2Calo_ring_41,L2Calo_ring_42,L2Calo_ring_43,L2Calo_ring_44,L2Calo_ring_45,L2Calo_ring_46,L2Calo_ring_47,L2Calo_ring_48,L2Calo_ring_49,L2Calo_ring_50,L2Calo_ring_51,L2Calo_ring_52,L2Calo_ring_53,L2Calo_ring_54,L2Calo_ring_55,L2Calo_ring_56,L2Calo_ring_57,L2Calo_ring_58,L2Calo_ring_59,L2Calo_ring_60,L2Calo_ring_61,L2Calo_ring_62,L2Calo_ring_63,L2Calo_ring_64,L2Calo_ring_65,L2Calo_ring_66,L2Calo_ring_67,L2Calo_ring_68,L2Calo_ring_69,L2Calo_ring_70,L2Calo_ring_71,L2Calo_ring_72,L2Calo_ring_73,L2Calo_ring_74,L2Calo_ring_75,L2Calo_ring_76,L2Calo_ring_77,L2Calo_ring_78,L2Calo_ring_79,L2Calo_ring_80,L2Calo_ring_81,L2Calo_ring_82,L2Calo_ring_83,L2Calo_ring_84,L2Calo_ring_85,L2Calo_ring_86,L2Calo_ring_87,L2Calo_ring_88,L2Calo_ring_89,L2Calo_ring_90,L2Calo_ring_91,L2Calo_ring_92,L2Calo_ring_93,L2Calo_ring_94,L2Calo_ring_95,L2Calo_ring_96,L2Calo_ring_97,L2Calo_ring_98,L2Calo_ring_99,eratio,rhad,reta
47.51,1056.258,322.18808,332.91266,-280.74185,21.125513,-131.22926,-38.171936,-160.6719,1016.8384,1376.0388,656.951,375.49756,146.65079,103.49597,158.98541,159.11371,33.283607,57.91023,4.9047017,106.44804,93.36013,15.107295,0.2074886,122.08429,31.42339,118.01488,29.593925,41.161118,-52.75674,29.289446,40.016697,69.12715,41.44455,-72.14855,-14.953975,-47.462067,-26.817968,-65.41516,-65.35079,-46.44978,-12.717882,-18.044514,-33.175583,-57.681835,-27.984262,-34.005123,7.963102,-22.334864,26.72255,-9.54486,-24.759933,32.30525,-3.9892335,-6.612062,-1.5629243,-38.755417,-23.971737,-56.844685,-17.22863,-29.97886,0.35023615,-43.807007,-34.695488,-0.2599415,26.690596,-6.4821076,23.944735,-5.2890983,-8.572839,-40.201355,-26.210144,-36.130577,1231.4435,1870.5939,1315.2631,-115.89269,29.084032,-145.92642,-539.6903,-179.19255,70.141075,8.70295,-134.42061,-72.97502,39.42592,159.01524,-31.542425,30.57416,-27.270332,-46.74914,104.31985,959.1538,-22.941708,149.33754,538.57947,-87.87107,-16.027462,19.82344,23.61942,-60.313873,0.8342539,-0.008131716,0.9840477
47.45,870.88824,776.3924,-90.25129,10.248786,568.1935,-63.480675,-62.772644,152.33191,1623.0905,2201.6028,1033.2242,568.50165,398.37,303.7893,112.87324,117.916016,137.36217,20.831818,39.63431,-0.4980082,-1.7506386,7.508041,49.296143,31.10999,50.512733,48.692974,61.022377,129.63188,265.34982,199.26791,159.82251,75.32963,179.40286,171.54257,214.65755,516.1432,897.01965,579.8635,440.63843,142.76012,25.156115,28.612495,21.64205,-42.07072,-50.295757,-23.654007,5.62644,50.56445,70.77525,-21.637785,65.41941,7.667616,22.603832,15.510465,72.67614,52.28219,36.03249,33.588768,85.72101,127.22364,499.30518,119.921394,93.474396,-10.229121,-47.400143,-8.769828,55.14496,-17.448498,-3.1326194,38.828648,-42.249638,-3.1108994,2024.6678,2423.0464,210.74808,243.24385,2452.8853,40.92897,116.024734,1095.077,69.08042,-64.61962,55.671036,19.813929,203.93512,248.58224,-2.8567696,-34.025146,-8.496286,311.27304,2111.6836,1620.9279,-27.419834,167.30472,527.5422,402.8012,0.0,-18.532923,619.03204,-33.661842,0.9111993,-0.008565528,0.92236084
40.371677,645.26904,-358.54266,106.22576,-177.10922,366.56064,-131.19983,-27.031487,-148.37717,2133.8008,1669.3931,649.2701,327.58627,213.97704,85.99986,-9.22037,77.20722,144.43764,59.013454,-11.713654,68.949394,14.30652,-18.078308,19.11442,-59.757206,-81.68883,-117.63671,-81.65903,-70.86585,-68.50539,-82.63287,22.53302,-19.937107,46.295403,36.827206,32.52667,61.275433,-38.319225,-108.418274,-96.70349,-38.29495,-43.10235,-26.128002,-40.55729,-88.08751,17.127636,-93.56633,-66.36138,-23.870821,-2.503672,-133.56836,31.55406,-18.457651,-59.044712,-23.553381,-16.115742,-0.38544023,3.7911022,-3.2488062,90.35731,-9.732603,32.448124,69.2675,63.637714,26.710966,-51.547173,-25.64967,-137.36319,48.36626,45.225647,134.73814,48.99021,-31.420717,4966.251,3245.3381,-108.745384,4.300914,-251.1583,-184.70354,-648.3832,-340.22104,52.113937,-63.735058,7.9759793,302.02197,70.73995,-18.442842,56.66802,143.3344,0.0,1166.2305,1560.9652,-229.78185,-7.756349,3871.4087,-63.98988,-14.058383,0.0,-46.067345,-29.751827,93.574295,0.92781395,0.25182763,0.94795686
40.371677,958.04553,903.08624,115.28443,-1.0670004,-73.2162,306.38626,-83.5907,55.368828,1547.2965,2829.6223,860.0495,432.4096,278.24658,239.4065,180.56252,102.67752,26.511667,51.51989,22.963629,-28.858889,46.214867,104.38855,31.634687,113.93476,50.501163,0.40115216,8.120107,-55.060253,-37.78009,105.15385,-72.351654,-28.202454,30.665794,-18.571524,-60.19699,-2.9515362,-3.900285,-24.720427,-2.19423,41.02461,30.631924,5.6049585,36.69473,23.756824,46.220398,-25.527222,16.809732,42.810535,-39.381466,14.2645235,-68.800735,41.161068,24.645363,-3.0129313,34.225685,60.176197,-10.162104,75.62355,45.24512,21.966562,69.47136,26.2316,29.669292,37.51232,54.740116,0.12334643,29.524822,-0.71647483,7.9411936,4.520666,31.301792,22.715292,1951.4672,3413.09,386.66916,115.76025,343.19748,790.6884,141.16286,420.37326,37.80384,-46.02887,9.384396,34.740707,84.26341,-70.31221,-7.49577,1.0561562,40.689068,-244.56728,1411.5945,-59.735016,-48.913452,-86.139626,85.273895,-53.242077,18.13634,-29.102499,-23.61942,5.4830794,0.90041995,-0.0077517675,0.94765735
40.29108,334.74405,-235.79047,-106.72036,-95.468,-156.66978,-126.52689,-60.346558,103.698845,1984.1478,1443.1154,591.9637,128.12187,128.27367,130.42897,46.127815,-37.322487,2.985877,-20.694988,-17.081081,40.378174,-21.601559,-32.040936,-11.051263,-18.887403,-61.952435,-13.180102,-9.178356,42.543823,-35.319748,72.40083,39.85693,-69.53177,-62.36863,-3.0959926,165.8234,-7.842474,-51.907906,-58.55886,-80.93237,-13.864379,-6.522406,12.269796,5.584171,-36.952755,-60.235504,-37.37225,-18.516035,34.534164,16.676874,57.03158,19.419836,-18.557533,-52.058132,7.279758,-28.524035,-9.422695,-0.5966642,16.593513,-17.407972,-9.515284,-16.250267,-21.602757,-56.161793,-30.55074,-2.6051095,-17.546711,11.075942,14.6349,-34.720894,12.997291,-16.193478,-8.998498,3429.5261,4892.539,473.32983,-29.139225,234.20587,-351.97333,31.389193,-118.71667,48.98715,89.22943,-49.191994,-11.049554,32.726326,-85.107445,-33.896122,-92.1249,0.4102418,332.70612,-11.486772,280.7071,-43.07539,85.74054,0.8204836,-107.8936,12.65326,26.993622,-22.775867,161.96173,0.90730375,0.018531691,0.9806761
40.29108,303.02472,356.4598,905.2054,26.09025,74.75986,61.49798,-132.85962,-184.55942,1062.2809,1156.7074,638.1147,181.15984,163.47792,61.43089,-24.380152,19.087685,143.46884,-8.643689,46.57209,95.57429,42.09437,58.789585,-8.492572,-58.617283,9.695821,1.4979407,21.322176,-61.80217,14.651248,-14.41565,15.862672,126.02108,22.036604,4.8435106,40.356396,40.051517,-39.25415,-9.998802,-36.791008,30.189993,8.634393,-44.48511,-51.50884,-60.261333,34.935646,33.38033,-2.1266787,2.1539876,-14.2244005,-2.8718748,42.65509,-42.147247,-35.051655,12.349786,-19.67218,-45.22964,-54.975704,-32.17538,11.037245,35.72041,25.65587,-11.630757,-67.91657,-39.34059,-24.457,-29.713017,-15.661394,-37.56015,-20.909634,-59.97121,-66.727196,-3.5293515,1942.1719,1930.8163,2162.0276,808.61926,383.3032,-276.09653,178.34421,-228.07857,52.802544,73.9608,181.74344,-21.507347,-113.04921,61.8598,30.12786,-235.765,-5.6272116,336.3732,350.31848,-30.733232,59.735016,280.1156,854.45056,17.314497,0.0,31.638723,20.370136,16.036064,0.8432223,0.002044541,0.82522345
40.47,171.88034,-180.18446,69.1353,61.882153,-90.46873,20.40504,75.06373,95.70203,1918.7424,1795.3881,509.61795,177.53455,184.14209,100.584785,-30.401527,-54.465805,-37.98404,-35.223198,28.054564,25.683437,52.679142,-42.89521,-28.078821,-44.857273,-78.68346,-23.033995,-35.55079,31.374338,-38.942493,13.590388,27.343035,60.50759,12.332807,16.60739,-25.88818,-39.633896,-27.755562,-22.728666,-16.952587,-41.94824,-88.32109,-66.81041,71.293175,-2.6788373,55.129307,9.909181,45.309887,-12.517245,-60.920948,-24.101337,-20.437426,-20.300205,5.0543284,-123.115875,39.867348,-52.481663,-4.0847344,53.502357,113.67979,32.175014,8.4672985,-36.47101,29.463774,12.094695,-4.491611,6.1349783,15.914869,5.173107,-16.691927,100.77401,12.9261055,-45.425602,2646.356,2939.974,231.29579,13.858742,256.36234,-243.23419,107.83136,-155.64552,31.133875,-43.832813,-0.36083794,-284.4142,70.86155,-1.5943654,-60.577644,31.396284,-6.991259,6.991259,-79.40073,-268.16473,-39.450676,-1.9975026,-23.470655,-168.2896,-2.0,-12.5,54.5,-35.5,0.94843,0.0031977736,1.0219036
42.76,857.8004,15.120044,-203.72781,172.26085,126.047,79.45405,379.48355,36.57466,1676.5076,1668.4115,534.14777,214.23698,150.44781,86.72054,44.70983,17.79214,59.555737,-31.086416,21.746225,68.71186,88.64716,-14.026902,52.773777,64.72686,-15.159927,3.9186735,2.9804947,-10.967827,67.82045,-75.78443,5.9548154,-51.847107,364.80792,5.9526544,10.930686,62.820827,109.75284,175.48329,139.62546,21.998081,-99.6394,17.028791,-33.958458,-9.995708,22.940132,-32.97461,36.82653,-0.10403622,-64.75587,4.919478,-39.894115,-16.958271,59.867096,-3.965497,2.0529795,57.73404,-20.046305,-20.02509,-18.98624,2.7804415,21.77456,19.773819,83.53773,-63.92003,-58.925907,-8.122254,-37.9445,-20.006247,-0.09902581,24.79287,-12.104398,16.827543,1817.151,3681.0354,493.40552,639.02234,493.94324,525.73956,120.52349,135.5471,39.901264,-46.71586,-46.47621,-235.9493,72.265396,-38.57772,47.175053,82.07444,-38.9513,-67.41571,496.99512,64.810555,30.96129,-72.40947,-84.394485,891.1512,0.0,-86.21885,-10.465872,348.3609,0.8919238,0.00084347656,0.8707972
42.21,900.1642,596.0854,127.292175,-80.238815,266.25623,308.58344,230.101,1023.7241,2336.808,2050.2407,729.5598,359.66672,174.84392,81.70486,38.047283,19.462275,76.16028,97.500694,-44.65486,-34.793137,3.4748285,-16.901722,132.39626,2.5994778,-112.03485,94.09978,204.17574,167.86055,142.00633,114.47977,-20.563257,73.53828,23.023174,0.049181905,140.50711,116.41154,25.685356,15.244751,-59.605534,-6.078679,61.344807,-95.68378,-77.22194,44.74702,26.69674,25.965681,23.194065,-2.4656582,-6.111744,-18.551056,32.092422,81.848915,169.62297,37.36788,-8.147093,-9.757128,11.598676,-39.929794,-106.74324,-135.81819,-63.208824,7.989556,-55.139156,18.555033,-64.97317,-8.951262,-17.012167,-39.16492,37.077538,-52.460556,1.5818343,-7.262416,1202.607,3052.9832,491.6223,-108.97289,-477.26468,514.5615,25.373627,588.2841,37.637474,28.10851,15.325135,106.78925,-88.34093,153.97389,-155.64496,105.73299,-30.372534,201.72803,254.33878,404.5626,-33.545784,-6.3465,60.291748,-98.37075,0.0,123.3926,-106.525986,-54.150707,1.0,0.0018112223,0.9628937
41.87,620.6369,-29.462885,126.015366,86.45861,-121.51653,-157.95255,13.914721,-321.7719,2178.8333,1804.6758,695.53784,324.80176,196.26787,111.223885,120.47473,48.35915,24.210913,-32.259182,159.98972,-24.832584,16.755962,24.17217,-13.772369,-95.145905,-26.737104,-47.047638,-59.01646,-19.321259,13.047852,21.405668,30.637852,1.9856241,50.049873,-68.2949,19.508747,-101.58848,-3.6270976,44.395626,-25.798412,36.06745,-13.897456,-66.49089,29.653599,42.636345,-39.6015,2.9197574,-45.18997,-15.620766,-41.45525,-46.107468,26.02435,-2.6554177,36.160786,-26.694489,40.786118,-60.966736,35.30826,-12.79445,-9.976212,-34.90878,-76.592896,-74.65658,-23.868013,-32.20036,-21.92747,-75.47092,-17.150978,50.33177,43.780205,16.987036,-57.00109,32.697063,2765.667,4071.4773,947.4923,47.024235,-152.01901,-479.72836,-81.8474,332.3538,49.509342,0.3753102,-18.560326,-30.017307,79.4472,-30.497257,-52.801853,-98.598465,2.3543198,-69.217,-724.65967,434.8665,-15.067647,24.484926,-93.70193,1098.3749,4.625037,10.175082,94.35076,160.9513,0.9061472,-0.031721476,0.94860756
