avgmu,L2Calo_ring_0,L2Calo_ring_1,L2Calo_ring_2,L2Calo_ring_3,L2Calo_ring_4,L2Calo_ring_5,L2Calo_ring_6,L2Calo_ring_7,L2Calo_ring_8,L2Calo_ring_9,L2Calo_ring_10,L2Calo_ring_11,L2Calo_ring_12,L2Calo_ring_13,L2Calo_ring_14,L2Calo_ring_15,L2Calo_ring_16,L2Calo_ring_17,L2Calo_ring_18,L2Calo_ring_19,L2Calo_ring_20,L2Calo_ring_21,L2Calo_ring_22,L2Calo_ring_23,L2Calo_ring_24,L2Calo_ring_25,L2Calo_ring_26,L2Calo_ring_27,L2Calo_ring_28,L2Calo_ring_29,L2Calo_ring_30,L2Calo_ring_31,L2Calo_ring_32,L2Calo_ring_33,L2Calo_ring_34,L2Calo_ring_35,L2Calo_ring_36,L2Calo_ring_37,L2Calo_ring_38,L2Calo_ring_39,L2Calo_ring_40,L2Calo_ring_41,L2Calo_ring_42,L2Calo_ring_43,L2Calo_ring_44,L2Calo_ring_45,L2Calo_ring_46,L2Calo_ring_47,L2Calo_ring_48,L2Calo_ring_49,L2Calo_ring_50,L2Calo_ring_51,L2Calo_ring_52,L2Calo_ring_53,L2Calo_ring_54,L2Calo_ring_55,L2Calo_ring_56,L2Calo_ring_57,L2Calo_ring_58,L2Calo_ring_59,L2Calo_ring_60,L2Calo_ring_61,L2Calo_ring_62,L2Calo_ring_63,L2Calo_ring_64,L2Calo_ring_65,L2Calo_ring_66,L2Calo_ring_67,L2Calo_ring_68,L2Calo_ring_69,L2Calo_ring_70,L2Calo_ring_71,L2Calo_ring_72,L2Calo_ring_73,L2Calo_ring_74,L2Calo_ring_75,L2Calo_ring_76,L2Calo_ring_77,L2Calo_ring_78,L2Calo_ring_79,L2Calo_ring_80,L2Calo_ring_81,L2Calo_ring_82,L2Calo_ring_83,L2Calo_ring_84,L2Calo_ring_85,L2Calo_ring_86,L2Calo_ring_87,L2Calo_ring_88,L2Calo_ring_89,L2Calo_ring_90,L2Calo_ring_91,L2Calo_ring_92,L2Calo_ring_93,L2Calo_ring_94,L2Calo_ring_95,L2Calo_ring_96,L2Calo_ring_97,L2Calo_ring_98,L2Calo_ring_99,eratio,rhad,reta
40.418987,-53.035374,283.4633,-330.63156,222.10513,-54.76525,-102.36006,239.71109,-157.47264,58.011066,1185.7202,313.91763,1031.1321,286.35342,221.50822,101.63245,97.72446,30.930285,83.95912,71.19882,5.284422,71.10847,-13.406505,30.78473,-53.704086,53.3586,-30.133846,26.818815,19.949224,35.652702,182.96147,23.85955,44.503384,41.556618,25.825954,0.30776316,12.059272,-36.048737,1.2668881,-0.69438714,31.712463,-34.070663,-63.570698,-12.469145,-28.34991,-19.492758,87.54805,47.28268,-6.7383757,34.51815,-47.981884,-78.43026,-47.980217,-25.3972,9.951528,-9.69092,27.66103,39.433147,44.32794,26.668795,-11.6292515,18.801825,-5.7390428,-8.648004,-40.097908,24.743279,40.451344,-30.257513,-74.44899,-53.792645,0.0,0.0,10.043181,1093.285,902.3938,158.2543,-154.99773,848.5179,-425.94803,-362.92288,-231.36156,13.660605,-123.71109,-61.234707,-11.452947,26.645735,-111.81363,-15.32503,-42.786495,-9.888545,175.52168,403.94708,1023.5238,5.933127,195.7932,39.059753,893.43005,42.644268,-17.15574,65.68198,4.411476,0.6788163,0.024185752,1.1710322
40.418987,-28.492699,194.78159,227.09772,319.924,-47.806988,-363.71762,-49.95366,-159.55746,49.01633,-0.49890077,93.523094,24.423868,240.74174,21.541618,98.85591,-10.778639,23.345556,-55.551388,16.34626,-32.871174,97.3748,204.64299,263.81537,336.90775,925.6212,273.56134,60.651344,94.121056,-61.553375,-12.6502075,-58.808083,-18.863224,-32.352135,4.826449,-74.681175,175.7187,-29.262554,-73.13739,-61.27108,59.075657,-24.511759,-37.454056,-88.58608,-88.926025,13.847542,-24.732132,-66.90174,33.965626,-5.3886952,52.385044,-32.159714,-32.336834,93.06818,32.782764,-19.434996,189.3006,-44.16694,-18.726236,120.5066,23.17296,30.322695,41.113842,-14.995138,29.237953,22.317883,95.35262,297.69824,48.301975,44.387466,12.577266,-78.038994,-15.009079,1237.1636,667.9107,127.69885,304.70935,479.47598,811.57324,950.9485,-743.0068,50.436447,29.441486,-72.05722,16.553144,114.17028,-95.62172,-40.461292,-31.596228,-3.8781745,-57.687847,448.4151,1195.0311,6.7868056,-16.482243,-125.5559,-31.025396,-7.35246,-18.136068,-36.7623,-26.468857,0.68015766,-0.010102488,0.8587158
40.371677,431.50528,179.37433,608.70746,-167.72733,133.31206,-0.6776321,17.428743,-17.942415,661.9671,1342.0275,704.3318,260.78906,129.11572,87.41076,-21.978832,-32.824036,6.023038,-7.5165358,-60.622177,18.851404,-31.4951,46.904053,153.45676,98.16693,47.942627,-162.30112,74.03404,-0.60710365,42.095623,205.74423,125.428925,-63.33765,-76.95071,13.062374,3.3304415,-59.76085,62.34912,26.453615,-22.877735,13.940116,-5.360298,100.065125,-10.276159,6.1797895,-2.5439284,58.38246,92.30028,95.24974,76.00729,151.55022,-62.504948,76.91481,83.84865,120.46932,96.36111,69.15336,33.39663,7.192196,10.035932,-9.376209,28.351532,3.208309,26.441591,21.558567,28.300798,36.071404,13.852997,51.527096,10.831439,50.583843,38.944973,6.0030856,1382.4519,1229.754,-44.184624,623.79565,505.219,211.3705,640.66754,121.24255,25.109234,47.53605,102.14198,200.25803,20.812368,12.80413,87.96836,-37.925564,-31.510168,688.05566,530.9396,-123.61681,9.210665,442.47873,1477.6777,-28.116766,0.0,-87.70026,68.318985,-31.010036,1.0,0.052058537,0.77590555
40.29108,670.32184,309.8238,4.9155946,-321.9681,-55.74083,-188.23225,-98.70358,17.991522,691.76996,763.98456,321.3453,154.86954,95.959496,131.14658,-12.937008,171.09734,69.86234,253.7406,110.39853,52.239334,0.31050798,5.4561257,-12.178203,-39.872772,-4.3792067,38.448704,3.2749414,-18.936876,-24.317518,-25.741037,6.297174,-22.133514,-7.6745515,-48.259705,0.710143,0.90846115,-26.603424,15.332358,-56.94483,-29.99771,29.10344,68.29896,60.030815,-17.961792,-20.251556,8.08799,87.53038,26.89341,1.8098462,19.165804,16.857557,-41.267838,-3.7988389,0.19656092,-20.597664,-69.64025,0.2330332,42.847996,-8.519753,-43.71785,-30.493193,-44.477646,-28.470448,-26.36916,-30.649883,40.117958,23.946949,-48.684875,54.07313,65.786736,-42.335697,-7.9514313,235.77547,452.78058,178.97725,228.99808,236.0262,88.72667,-268.65668,88.797104,20.503056,-0.27510935,-31.794184,-53.228775,83.05747,90.86459,-68.52742,23.054602,22.013105,422.76495,438.33115,69.128876,77.62516,-130.92004,85.25701,102.34163,0.0,-37.533806,77.3656,-49.406746,0.57946277,0.055772066,1.0814198
40.29108,501.7878,11.745905,157.71916,-46.6936,320.09894,621.4075,714.70325,-72.95033,642.9255,698.21356,537.8517,141.83998,104.132416,32.0882,-14.095916,17.414478,-0.14609917,39.67686,60.6953,106.04001,35.481422,4.091213,25.676388,70.758415,75.316444,-42.765656,30.362835,-10.71414,19.597227,-54.42457,-13.839623,34.342674,78.7422,-21.024239,50.817112,39.13901,151.98122,20.248743,54.256847,134.21764,38.262447,109.094604,71.16326,204.33392,159.67596,25.59549,14.72269,46.439564,68.218056,90.83125,-9.225949,38.421036,3.1335983,-14.287737,146.00963,61.539394,58.16504,106.605095,39.467964,45.217625,-12.824022,-7.6160927,-67.58469,-64.46941,-3.2858698,40.647636,60.67526,38.755943,6.046557,-50.38496,34.145813,133.38562,1031.9965,1511.7144,-375.0965,-58.789944,-210.37146,238.36067,-61.044,-216.85864,30.494719,-104.69456,-96.32476,10.298397,107.19351,168.0498,-68.29996,117.26844,6.921982,160.68886,296.65634,513.2155,113.22384,16.810526,-310.5003,-110.75171,0.0,6.4624534,-16.40469,6.4624534,0.9302691,0.04547756,1.0983428
40.29108,470.3189,91.06246,170.5075,221.04926,265.41977,192.52629,2.4357412,75.191414,484.2276,843.25,417.81235,213.80544,154.07697,111.23196,54.511127,178.68004,-37.69307,-5.54057,-7.482777,-21.13129,-72.55525,-87.42102,-50.103474,-23.454117,5.71629,-20.91667,-4.0118046,15.391835,-89.307465,22.017658,-85.22089,20.68233,-66.13674,-27.906769,-13.263176,-45.450565,-42.12435,-2.120753,-30.325546,-48.680996,55.892624,-42.413277,-9.188612,-73.94336,33.241062,111.33734,121.49525,97.834656,31.81402,-36.008064,-3.2446725,-50.326138,-65.015656,73.4633,41.029953,106.00719,138.0855,-73.22998,-0.10301238,63.567474,89.57591,-2.9538589,26.4877,-67.43544,-57.390125,-38.799065,7.1568418,30.487911,-43.137672,-16.82651,45.82916,29.240444,649.85736,863.50226,298.02356,-186.09001,348.94937,683.24023,132.56659,1509.9175,105.5578,69.91764,8.570881,-61.35694,1.9775425,-118.45058,-169.46387,-10.645577,121.94346,-69.8115,-257.03323,226.6607,-23.119392,-25.386,-15.866249,-93.38421,2.7750223,32.837765,59.200478,0.46250373,0.76769245,0.0024341496,1.2190167
40.63258,752.52515,267.45444,82.09366,19.22347,-264.0151,94.37461,297.57983,64.65742,528.0627,755.0509,275.357,128.41847,59.350353,50.96803,1.2705795,-57.414593,-47.78735,-65.95725,10.350419,-89.357506,-37.758293,3.0425475,-48.700985,47.291386,27.828215,52.23985,-26.38383,42.15115,-26.68089,-31.584934,12.338235,19.814278,34.33336,-90.64978,-29.222704,8.693571,6.1728,-18.73959,-33.312706,16.404047,-37.119637,-43.72206,-71.79696,-30.35255,2.1835918,24.041994,-19.423965,30.514057,-3.5082014,7.679717,-46.214714,-15.983952,-32.692257,-35.177074,-44.575375,-6.1598043,-32.44244,4.497443,-14.439369,9.024653,11.979682,-14.761083,-4.4258657,9.9667425,9.200934,-14.708306,-15.205439,-8.189793,18.664026,16.898066,-0.798499,45.740444,248.01903,314.17017,234.54924,239.79742,86.0847,15.660946,-489.48248,309.1324,25.368767,-21.153744,-101.696106,37.25502,-69.068596,125.19851,-18.368595,-103.88634,18.151157,173.78767,-139.80254,696.91364,5.7929225,-54.067276,99.63827,-146.36784,0.0,-77.98374,65.649574,-31.432222,1.0,-0.0046261,0.93000805
40.47,231.8705,-249.30261,72.82657,-49.71963,121.86975,-236.83678,-105.56294,-81.17908,491.12878,1222.464,338.3886,195.10658,47.21155,-37.00556,12.807323,29.840004,-0.6993682,14.831682,-70.03636,-105.6189,-88.99231,-5.731794,-43.449036,-18.883749,5.2617393,-47.607117,26.33373,67.606445,28.85326,47.99861,10.639395,65.72014,45.97576,-25.960215,-24.588022,29.682709,17.95564,28.76608,-45.313793,54.284725,-58.680923,-42.16223,5.7215323,12.826078,-7.1174684,11.66757,19.375994,-27.408876,-4.3176665,113.42872,-8.645583,-7.7272043,-46.964493,-34.184044,-29.027761,-10.111067,39.282646,-0.13284704,33.233143,-45.525467,-32.181263,16.132877,-21.488802,-31.876562,12.133697,-70.907936,-27.108068,-6.864103,-20.715885,-0.14651231,-42.306004,-3.9236715,722.81195,1360.2494,-158.83487,-289.49667,-742.10095,-592.5777,-363.80435,-179.93225,9.822672,-117.3671,-84.25098,-145.73698,116.841644,21.826042,-97.13962,-168.11913,-11.48564,350.72037,-161.29834,346.06732,-21.972528,476.19537,57.4282,3.4956295,-1.0,-12.5,68.0,-6.0,0.8863231,0.015161934,1.3223724
40.47,335.69077,-179.48776,213.53375,66.71924,119.95995,-73.76562,151.1537,-121.85032,509.6811,960.2373,46.05676,47.977943,-7.6250296,-21.311989,-17.29375,14.1803465,-20.308651,5.3738546,-84.500565,33.095978,-24.567606,-7.547449,-39.27935,-59.82254,65.67751,-55.493473,75.87307,-84.73829,-41.749786,-21.577679,61.888203,-52.87048,-42.128777,37.814995,-81.14814,-1.7135354,14.166084,-48.15763,-37.01201,-75.80358,-25.211178,-39.55873,2.8253367,-25.162012,49.715588,-0.14891835,14.081274,62.75778,-16.118668,-27.824137,38.183796,-41.00121,-3.268884,-11.23627,-8.781675,-10.133446,1.473993,24.23255,23.082817,-36.396336,-58.787926,-62.03925,-96.996216,9.932431,-40.960182,24.014448,-54.660595,-145.60915,-15.497475,-85.37053,-32.13433,-17.150421,1432.2511,1831.5894,40.853115,55.098446,62.935516,-30.190739,57.677914,-692.4123,40.038235,12.311995,-23.458792,-136.611,133.788,28.511679,46.27936,-92.34376,46.441936,-108.36452,1243.543,231.21092,16.978771,-39.95005,-16.479397,25.468159,0.0,-20.419556,42.831264,42.333225,0.95845914,-0.009569863,0.98648906
40.28,508.40622,-301.82172,-134.16408,-473.95706,-80.49716,-116.12186,-61.73484,102.05096,528.68036,498.81668,262.2841,146.00272,113.33875,40.051956,52.67721,-28.051344,61.29197,54.49748,71.2304,71.50325,147.62125,80.59296,7.1334176,-31.110403,-85.46127,-35.423134,46.66566,-15.754592,-21.530386,-106.84946,-85.48307,-31.091904,-42.618286,-136.18768,-54.081684,-83.014534,-13.697679,3.3948505,-89.65574,19.900345,18.05197,-32.604805,-0.06352824,59.67599,-15.871671,-78.59333,-58.508205,101.06571,-33.504913,29.049955,100.46751,-34.137478,37.254498,-34.47283,16.48105,18.152357,-42.44499,-18.810646,30.159328,38.039925,6.787113,-46.356876,1.3271809,-137.38248,-60.037033,-94.538216,-18.910093,-130.11258,4.5830116,-73.1274,-19.17041,-26.255634,2563.168,1164.3247,1.5512868,-201.38004,99.114395,190.99765,-217.30478,-785.086,31.211279,37.84669,-270.55566,64.82145,44.424595,101.10811,239.62473,-34.311756,-9.210665,81.92644,23.753819,-153.67267,19.875645,-59.626934,34.4188,-295.22604,-22.05738,-17.645905,-83.81805,-64.701645,0.767983,0.0022544365,0.93410563
